,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,param_loss,param_penalty,param_dual
18,22.534404730796815,0.2705334918333636,1.7236926078796386,0.023293319573565306,4.0,linear,,"{'C': 4.0, 'kernel': 'linear'}",0.8383333333333334,0.8516666666666667,0.805,0.81,0.815,0.78,0.8016666666666666,0.81,0.7983333333333333,0.8433333333333334,0.8153333333333335,0.021262904578422753,17,,,
19,28.579159569740295,0.1773658714816658,2.1940989017486574,0.02875655921424867,4.0,rbf,,"{'C': 4.0, 'kernel': 'rbf'}",0.8516666666666667,0.8583333333333333,0.82,0.8283333333333334,0.8466666666666667,0.8066666666666666,0.8333333333333334,0.825,0.8383333333333334,0.875,0.8383333333333333,0.019061304607327734,2,,,
20,15.905516958236694,0.29684501970369337,1.3529839992523194,0.022732728985464738,4.0,sigmoid,,"{'C': 4.0, 'kernel': 'sigmoid'}",0.84,0.8366666666666667,0.795,0.8116666666666666,0.8033333333333333,0.795,0.78,0.815,0.7966666666666666,0.8283333333333334,0.8101666666666667,0.018833333333333323,21,,,
21,22.86404867172241,0.21825917096893008,1.7180525541305542,0.049915393745517324,8.0,linear,,"{'C': 8.0, 'kernel': 'linear'}",0.8383333333333334,0.8466666666666667,0.805,0.8083333333333333,0.7966666666666666,0.77,0.795,0.8116666666666666,0.7916666666666666,0.8316666666666667,0.8095000000000001,0.022324003026140078,22,,,
22,28.324564146995545,0.20456016017369616,2.1677161931991575,0.07102904703101291,8.0,rbf,,"{'C': 8.0, 'kernel': 'rbf'}",0.8516666666666667,0.8583333333333333,0.82,0.8283333333333334,0.8466666666666667,0.8066666666666666,0.8333333333333334,0.825,0.8383333333333334,0.875,0.8383333333333333,0.019061304607327734,2,,,
23,16.529389953613283,0.9795530976395662,1.1326037645339966,0.04829503713808651,8.0,sigmoid,,"{'C': 8.0, 'kernel': 'sigmoid'}",0.8183333333333334,0.8316666666666667,0.7866666666666666,0.8016666666666666,0.79,0.7816666666666666,0.785,0.8183333333333334,0.7633333333333333,0.8233333333333334,0.8000000000000002,0.020989415321908234,30,,,
24,23.16216766834259,1.7087268375288605,1.7110554456710816,0.04928459052225049,16.0,linear,,"{'C': 16.0, 'kernel': 'linear'}",0.8333333333333334,0.8483333333333334,0.81,0.8083333333333333,0.7966666666666666,0.7666666666666667,0.7933333333333333,0.8083333333333333,0.7933333333333333,0.8366666666666667,0.8094999999999999,0.02310663685322178,23,,,
25,28.24894802570343,0.24736476432536803,2.098322105407715,0.0601035652234199,16.0,rbf,,"{'C': 16.0, 'kernel': 'rbf'}",0.8516666666666667,0.8583333333333333,0.82,0.8283333333333334,0.8466666666666667,0.8066666666666666,0.8333333333333334,0.825,0.8383333333333334,0.875,0.8383333333333333,0.019061304607327734,2,,,
26,17.399092841148377,1.9945691911203256,0.9488081216812134,0.02242823707001399,16.0,sigmoid,,"{'C': 16.0, 'kernel': 'sigmoid'}",0.7966666666666666,0.8083333333333333,0.775,0.7916666666666666,0.7533333333333333,0.7633333333333333,0.7716666666666666,0.7966666666666666,0.76,0.81,0.7826666666666666,0.019510680835549205,34,,,
27,25.705161905288698,0.3676835088703458,2.520834493637085,0.04929891142917026,0.0625,poly,2,"{'C': 0.0625, 'degree': 2, 'kernel': 'poly'}",0.5066666666666667,0.5066666666666667,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5053333333333333,0.000666666666666682,55,,,
